mean pore radius (nm),overall porosity (%),static Contact angle (degree),operation pressure ( bar),organic compound,organic compound concentration (mg/L),foulant,foulant concentration (mg/L),water permeability (LMH/bar),organic compound removal (%),flux recovery ratio(%),reversible fouling ratio (%),irreversible fouling ratio (%)
20,77.5,74.5,1,BSA,100,BSA,100,72.5,128,94,27.8,6
18,75,82,1,BSA,100,BSA,100,75.5,98,96,25.1,4
17.6,74,81.5,1,BSA,100,BSA,100,75,85,96.5,25.2,3.5
18,76,76,1,BSA,100,BSA,100,81,105,98.5,19,1.5
23,78,72,1,BSA,100,BSA,100,84,150,97.5,16.1,2.5
20.5,76,78,1,BSA,100,BSA,100,78,135,99,22.3,1
11.25,68,86.5,1,EPS,10,EPS,10,68,45,89,31.8,11
16,72,83.5,1,EPS,10,EPS,10,72.5,63,92.3,27.6,7.7
17.5,76,79,1,EPS,10,EPS,10,74,78,90,25.7,10
20,77.5,74.5,1,EPS,10,EPS,10,81,128,89,19.5,11
18,75,82,1,EPS,10,EPS,10,78,98,88,21.7,12
17.6,74,81.5,1,EPS,10,EPS,10,76,85,91,23.6,9
18,76,76,1,EPS,10,EPS,10,80,105,93,20.3,7
23,78,72,1,EPS,10,EPS,10,82,150,87,18.3,13
20.5,76,78,1,EPS,10,EPS,10,81,135,84,19.6,16
37.5,81.2,84.4,1,MB,25,BSA,500,182.9,88.2,67.2,6.2,32.8
33.7,86.6,79.2,1,BSA,500,BSA,500,181.1,97,70,6.5,30
34.4,85.5,77.2,1,BSA,500,BSA,500,166.5,97.5,85,7.5,15
36.9,82.9,79.5,1,MB,25,BSA,500,164.5,90.6,86.9,10.8,13.1
33,79.9,75.5,1,BSA,500,BSA,500,132.8,98,83,6.5,17
37.5,87.7,74.6,1,BSA,500,BSA,500,241.5,98.5,83.9,13,16.1
48.2,79,73.2,1,BSA,500,BSA,500,291.9,98.5,84.2,11,15.8
50.6,80.5,74.6,1,MB,25,BSA,500,326.5,87,80,15,20
42.7,78.7,74.3,1,BSA,500,BSA,500,212.9,99,78,12,22
37.5,81.2,84.4,1,MB,25,HA,25,182.9,88.2,87,7.5,13
33.7,86.6,79.2,1,HA,25,HA,25,181.1,98,93,9,7
34.4,85.5,77.2,1,HA,25,HA,25,166.5,98.5,94,5,6
36.9,82.9,79.5,1,MB,25,HA,25,164.5,90.6,96,7.5,4
33,79.9,75.5,1,HA,25,HA,25,132.8,98.5,97,3,3
37.5,87.7,74.6,1,HA,25,HA,25,241.5,98.5,96.5,8,3.5
48.2,79,73.2,1,HA,25,HA,25,291.9,98.5,96.8,7.5,3.2
50.6,80.5,74.6,1,MB,25,HA,25,326.5,87,99.4,14.6,0.6
42.7,78.7,74.3,1,HA,25,HA,25,212.9,99,99,28.5,1
2.7,25.1,67.9,1,BSA,1000,BSA,1000,102.7,91,68.5,6,31.5
3.9,34.1,61.8,1,BSA,1000,BSA,1000,215.7,93,84.5,27.6,15.5
3.2,38.4,62.7,1,BSA,1000,BSA,1000,109.5,87.9,84.7,20,15.3
3.2,36.4,59.7,1,BSA,1000,BSA,1000,207.2,98.9,95.4,30,4.6
3.8,39.9,58,1,BSA,1000,BSA,1000,255.5,90.2,94.2,41,5.8
2.7,29.4,60.7,1,BSA,1000,BSA,1000,139.3,96.1,91.2,25,8.8
3.7,36.4,58.2,1,BSA,1000,BSA,1000,249.5,97.2,99,38.7,1
4.1,42.5,56,1,BSA,1000,BSA,1000,352.2,88.6,71.9,31,28.1
60,75.4,78,1,BSA,500,BSA,500,290,90,50.3,40,49.7
70,83.3,56,1,BSA,500,BSA,500,460,95,75.4,60,24.6
68,82.4,53,1,BSA,500,BSA,500,650,95.5,80.06,65,19.94
74,86.7,50,1,BSA,500,BSA,500,750,98,88.7,71.5,11.3
71,82.8,51,1,BSA,500,BSA,500,700,98.8,82.02,68,17.98
32,50.4,87,1,BSA,100,BSA,100,138,82.5,48,5,52
39.7,58.6,72,1,BSA,100,BSA,100,209,88.5,60,15,40
38.8,66.3,63.7,1,BSA,100,BSA,100,235,92,65.6,25,34.4
36.2,62.7,58,1,BSA,100,BSA,100,190,96,77,32.5,23
32,50.4,87,1,HA,100,HA,100,138,76.3,50.6,8,49.4
39.7,58.6,72,1,HA,100,HA,100,209,85,69.4,17,30.6
38.8,66.3,63.7,1,HA,100,HA,100,235,88,78.8,22.5,21.2
36.2,62.7,58,1,HA,100,HA,100,190,89,90,28,10
12.9,69.2,68.1,2,BSA,1000,BSA,1000,60,96,45.2,20,54.8
13.7,74.8,61.8,2,BSA,1000,BSA,1000,72.5,96.8,60,24,40
14.6,75.9,56.6,2,BSA,1000,BSA,1000,90.1,96.1,76.2,35,23.8
12.8,74.9,57.1,2,BSA,1000,BSA,1000,67.5,97.2,50.3,15,49.7
25,70,72,1,BSA,1000,BSA,1000,180,99.5,72,48,28
32.5,75,56,1,BSA,1000,BSA,1000,370,99,90,46,10
88.6,80,82.1,1.38,BSA,1000,BSA,1000,181.2,37.5,57,31,43
73.3,67,57,1.38,BSA,1000,BSA,1000,54.3,78,90,46,10
56.9,64.5,40,1.38,BSA,1000,BSA,1000,27.5,91,91,58,9
5.14,54.12,82.49,1.5,HA,500,HA,500,183.3,94,69,45,31
8.13,88.29,75.14,1.5,HA,500,HA,500,433.3,91.2,72,52,28
7.19,67.64,70.86,1.5,HA,500,HA,500,350,93,79,46,21
8.89,84.17,63.9,1.5,HA,500,HA,500,380,81.5,82,48,18
21.2,82.3,77,1,BSA,1000,BSA,1000,297.5,98.7,43,13,57
23.6,91.2,67.5,1,BSA,1000,BSA,1000,511.5,96.4,65,32,35
40,58,75,1,BSA,500,BSA,500,200,97,40,64,60
44.1,67,70,1,BSA,500,BSA,500,312,96,42.5,72,57.5
45.5,74,64,1,BSA,500,BSA,500,398,96,47,77,53
43.3,71,65,1,BSA,500,BSA,500,337,96,45,62.5,55
43.1,65,67,1,BSA,500,BSA,500,285,96,43,60,57
4.15,62,52.3,3.45,HA,500,BSA,1000,29,97.53,49.1,26.8,50.9
4.7,70,46.5,3.45,HA,500,BSA,1000,54.3,97.12,77.1,55.5,22.9
5.7,78,42.5,3.45,HA,500,BSA,1000,90.7,95.5,83.1,66.6,16.9
4.7,74,43.3,3.45,HA,500,BSA,1000,75.4,98.71,82.3,64.8,17.7
4.2,75,44,3.45,HA,500,BSA,1000,68.8,99.59,74.5,51.7,25.5
4.15,62,52.3,3.45,Safranin O,50,BSA,1000,29,89.42,49.1,26.8,50.9
4.7,70,46.5,3.45,Safranin O,50,BSA,1000,54.3,86.78,77.1,55.5,22.9
5.7,78,42.5,3.45,Safranin O,50,BSA,1000,90.7,85.32,83.1,66.6,16.9
4.7,74,43.3,3.45,Safranin O,50,BSA,1000,75.4,90.71,82.3,64.8,17.7
4.2,75,44,3.45,Safranin O,50,BSA,1000,68.8,94.59,74.5,51.7,25.5
4.15,62,52.3,3.45,BSA,1000,BSA,1000,29,97.23,49.1,26.8,50.9
4.7,70,46.5,3.45,BSA,1000,BSA,1000,54.3,96.2,77.1,55.5,22.9
5.7,78,42.5,3.45,BSA,1000,BSA,1000,90.7,92,83.1,66.6,16.9
4.7,74,43.3,3.45,BSA,1000,BSA,1000,75.4,93.7,82.3,64.8,17.7
4.2,75,44,3.45,BSA,1000,BSA,1000,68.8,95.5,74.5,51.7,25.5
4.15,62,52.3,3.45,Pepsin,1000,BSA,1000,29,95,49.1,26.8,50.9
4.7,70,46.5,3.45,Pepsin,1000,BSA,1000,54.3,86,77.1,55.5,22.9
5.7,78,42.5,3.45,Pepsin,1000,BSA,1000,90.7,81.5,83.1,66.6,16.9
4.7,74,43.3,3.45,Pepsin,1000,BSA,1000,75.4,80,82.3,64.8,17.7
4.2,75,44,3.45,Pepsin,1000,BSA,1000,68.8,81,74.5,51.7,25.5
4.15,62,52.3,3.45,Trypsin,1000,BSA,1000,29,93.75,49.1,26.8,50.9
4.7,70,46.5,3.45,Trypsin,1000,BSA,1000,54.3,87,77.1,55.5,22.9
5.7,78,42.5,3.45,Trypsin,1000,BSA,1000,90.7,73,83.1,66.6,16.9
4.7,74,43.3,3.45,Trypsin,1000,BSA,1000,75.4,74,82.3,64.8,17.7
4.2,75,44,3.45,Trypsin,1000,BSA,1000,68.8,75,74.5,51.7,25.5
4.15,62,52.3,3.45,Egg albumin ,1000,BSA,1000,29,95.5,49.1,26.8,50.9
4.7,70,46.5,3.45,Egg albumin ,1000,BSA,1000,54.3,92,77.1,55.5,22.9
5.7,78,42.5,3.45,Egg albumin ,1000,BSA,1000,90.7,85,83.1,66.6,16.9
4.7,74,43.3,3.45,Egg albumin ,1000,BSA,1000,75.4,85.5,82.3,64.8,17.7
4.2,75,44,3.45,Egg albumin ,1000,BSA,1000,68.8,86.2,74.5,51.7,25.5
5.1,63.1,56.3,3,BSA,250,BSA,250,20.2,98,92,32,8
5.8,70,54.2,3,BSA,250,BSA,250,31.7,98.3,93.2,27.5,6.8
6.5,71.9,52.1,3,BSA,250,BSA,250,47.9,98.7,96.8,24,3.2
7.6,72.5,51.7,3,BSA,250,BSA,250,56.4,99,94.9,17.5,5.1
5.1,63.1,56.3,3,Reactive orange 64,100,BSA,250,20.2,98.2,92,32,8
5.8,70,54.2,3,Reactive orange 64,100,BSA,250,31.7,99.5,93.2,27.5,6.8
6.5,71.9,52.1,3,Reactive orange 64,100,BSA,250,47.9,99.2,96.8,24,3.2
7.6,72.5,51.7,3,Reactive orange 64,100,BSA,250,56.4,99.9,94.9,17.5,5.1
26.97,42.8,91.2,1.96,BSA,1000,BSA,1000,65,75,77.23,18.14,22.77
27.55,47.45,82.5,1.96,BSA,1000,BSA,1000,81.2,90,83.33,16.66,16.67
30.87,52.92,77.5,1.96,BSA,1000,BSA,1000,108.3,92.5,92.1,13.15,7.9
28.2,48.91,76.2,1.96,BSA,1000,BSA,1000,83.9,99,86.66,19.99,13.34
26.97,42.8,91.3,1.96,HA,100,HA,100,65,74.45,68.19,0.35,31.81
27.55,47.45,88.09,1.96,HA,100,HA,100,81.6,92.5,87.97,7.58,12.03
30.87,44.69,98.48,1.96,HA,100,HA,100,105.2,97.93,94.21,8.83,5.79
28.2,42.27,74.14,1.96,HA,100,HA,100,76.2,98.5,76.3,1.12,23.7
20.2,52.6,77.1,1.5,BSA,1000,BSA,1000,66.7,86.2,76.3,70.5,23.7
72.5,62.6,61.4,1.5,BSA,1000,BSA,1000,175,68.75,84.5,56.5,15.5
93.9,65.4,52.9,1.5,BSA,1000,BSA,1000,237.5,69,88.4,51.4,11.6
65,73.75,76,1,BSA,100,BSA,1000,30,94.3,75,35,25
70,78.75,65,1,BSA,100,BSA,1000,85,95,80,20,20
75,82.5,52.5,1,BSA,100,BSA,1000,123.6,96.2,85,17.5,15
77.5,77.5,41,1,BSA,100,BSA,1000,105,95.5,77.5,12.5,22.5
5.55,68.7,71.3,2,BSA,500,BSA,500,211.3,98,44.3,55.3,55.7
6.3,71.3,62.3,2,BSA,500,BSA,500,240,98,51.4,62.5,48.6
6.65,74.1,59.8,2,BSA,500,BSA,500,290,98,55.9,69.3,44.1
7.45,79.2,57.2,2,BSA,500,BSA,500,350.7,98,60.4,71.4,39.6
7.05,76.4,53.2,2,BSA,500,BSA,500,305,98,58.6,70,41.4
6.85,75.9,51,2,BSA,500,BSA,500,285,98,56.3,67.7,43.7
9.3,67.9,67.5,2,BSA,500,BSA,500,106.6,90.2,69.3,39.3,30.7
9.8,70.5,65.4,2,BSA,500,BSA,500,115.8,92.4,77.1,46.88,22.9
10.5,75.1,62.1,2,BSA,500,BSA,500,133.45,95.1,85.8,52.83,14.2
11.2,77.3,57.8,2,BSA,500,BSA,500,156.5,95.8,88.7,56.75,11.3
12.1,79.8,54.5,2,BSA,500,BSA,500,200.95,97.5,91.8,60.7,8.2
11.5,76.2,52.2,2,BSA,500,BSA,500,189.35,95.6,88.2,58.63,11.8
9.1,69.4,70,2,BSA,100,BSA,100,90,94.3,72,36.58,28
11.2,72.3,65,2,BSA,100,BSA,100,142.5,94.2,76,45.74,24
12.9,74.4,59,2,BSA,100,BSA,100,225,93.9,78.5,55.83,21.5
14.3,82.1,52,2,BSA,100,BSA,100,270,92.8,82,54.93,18
13.2,78.2,50,2,BSA,100,BSA,100,250,93,88.2,62.7,11.8
9.1,69.4,70,2,HA,100,HA,100,90,97.5,76.5,36.61,23.5
11.2,72.3,65,2,HA,100,HA,100,142.5,97.1,84,51.11,16
12.9,74.4,59,2,HA,100,HA,100,225,98,88,62.18,12
14.3,82.1,52,2,HA,100,HA,100,270,97,90,58.75,10
13.2,78.2,50,2,HA,100,HA,100,250,97.3,92.5,61.7,7.5
9.1,69.4,70,2,SA,100,SA,100,90,91.6,83,39.25,17
11.2,72.3,65,2,SA,100,SA,100,142.5,91.2,92.5,53.03,7.5
12.9,74.4,59,2,SA,100,SA,100,225,90.4,93.75,65.42,6.25
14.3,82.1,52,2,SA,100,SA,100,270,89.7,97,61.58,3
13.2,78.2,50,2,SA,100,SA,100,250,90.8,98,62,2
3.4,76.9,67.5,2,BSA,250,BSA,250,20.5,90.8,47.7,4,52.3
3.4,79.6,62,2,BSA,250,BSA,250,22,93.9,52.3,1,47.7
3.7,83.3,61.2,2,BSA,250,BSA,250,27.5,98,56.6,2.5,43.4
3.8,82.5,60,2,BSA,250,BSA,250,26,96.5,59.4,5,40.6
3.9,82,58,2,BSA,250,BSA,250,30,96.1,59.4,4.5,40.6
3.7,81,57,2,BSA,250,BSA,250,27.5,95.8,60.6,3.5,39.4
3.6,80.8,56,2,BSA,250,BSA,250,27,95,64.9,6,35.1
3.4,76.9,67.5,2,Lanasol blue 3R,100,BSA,250,20.5,92.3,47.7,4,52.3
3.4,79.6,62,2,Lanasol blue 3R,100,BSA,250,22,93,52.3,1,47.7
3.7,83.3,61.2,2,Lanasol blue 3R,100,BSA,250,27.5,95.2,56.6,2.5,43.4
3.8,82.5,60,2,Lanasol blue 3R,100,BSA,250,26,94,59.4,5,40.6
3.9,82,58,2,Lanasol blue 3R,100,BSA,250,30,95.1,59.4,4.5,40.6
3.7,81,57,2,Lanasol blue 3R,100,BSA,250,27.5,95.7,60.6,3.5,39.4
3.6,80.8,56,2,Lanasol blue 3R,100,BSA,250,27,98.6,64.9,6,35.1
9.6,72.6,64.6,2,BSA,500,BSA,500,110.5,93,75,41.06,25
10,76.4,61.03,2,BSA,500,BSA,500,142,95,79,48.37,21
10.3,79.1,59.1,2,BSA,500,BSA,500,161.5,96,84,57.07,16
12.5,78.7,57.2,2,BSA,500,BSA,500,217.5,98,89,63.03,11
12.1,75.2,55.4,2,BSA,500,BSA,500,201.5,95.5,86,61.19,14
41,62,70,1,HA,100,HA,100,193.9,42.5,73,15,27
55,70,66,1,HA,100,HA,100,448.9,64,83.5,50,16.5
53,79.5,61.25,1,HA,100,HA,100,515.8,72.5,89,52,11
55,75,53.75,1,HA,100,HA,100,475.6,78.8,92.5,57,7.5
41,62,70,1,HA,100,BSA,100,193.9,46,61.25,12.5,38.75
55,70,66,1,HA,100,BSA,100,448.9,66,70,42.5,30
53,79.5,61.25,1,HA,100,BSA,100,515.8,76,76.2,45,23.8
55,75,53.75,1,HA,100,BSA,100,475.6,82.5,80,50,20
41,62,70,1,HA,100,SA,100,193.9,35,74,5,26
55,70,66,1,HA,100,SA,100,448.9,55,77,38,23
53,79.5,61.25,1,HA,100,SA,100,515.8,62.5,83,43,17
55,75,53.75,1,HA,100,SA,100,475.6,70,87.5,48,12.5
37.42,69.58,78.75,1,BSA,100,BSA,1000,59.7,71.4,32.5,20,67.5
42.78,78.14,67,1,BSA,100,BSA,1000,120,93.1,80,48,20
45.32,79.59,66.2,1,BSA,100,BSA,1000,165,88.6,92.5,58,7.5
5.36,52.7,76,1,BSA,1000,BSA,1000,152.8,95.7,68.75,30,31.25
6.42,67.3,66.5,1,BSA,1000,BSA,1000,397.2,94.3,83,35,17
6.09,62.6,72.2,1,BSA,1000,BSA,1000,302.1,94.8,75,30,25
6.63,70.4,68.3,1,BSA,1000,BSA,1000,434.5,94,79,32.5,21
7.41,74.2,62.5,1,BSA,1000,BSA,1000,481.6,94.5,90,39.5,10
6.99,72.1,60.1,1,BSA,1000,BSA,1000,460.4,94.1,87.5,37.5,12.5
5.36,52.7,76,1,HA,1000,HA,1000,152.8,98,76.3,32.2,23.7
6.42,67.3,66.5,1,HA,1000,HA,1000,397.2,98,87.5,35.5,12.5
6.09,62.6,72.2,1,HA,1000,HA,1000,302.1,98,80,32,20
6.63,70.4,68.3,1,HA,1000,HA,1000,434.5,98,84,35,16
7.41,74.2,62.5,1,HA,1000,HA,1000,481.6,97.5,93,38,7
6.99,72.1,60.1,1,HA,1000,HA,1000,460.4,98,90,36.2,10
7.99,71.74,72.6,1,BSA,100,BSA,100,14.8,98.5,65.5,16.45,34.5
10.61,74.48,70.5,1,BSA,100,BSA,100,18.6,98.5,73,14.56,27
12.34,75.35,64.2,1,BSA,100,BSA,100,25.55,98.5,79.5,26.23,20.5
12.61,76.83,60.5,1,BSA,100,BSA,100,26.49,98.5,88.56,34.92,11.44
23.4,47.86,70.55,1,BSA,1000,BSA,1000,345.48,95.62,82.7,47.97,17.3
24.1,52.5,57.5,1,BSA,1000,BSA,1000,420,95,82.5,51.55,17.5
24.5,57.5,56,1,BSA,1000,BSA,1000,500,93.5,84,54,16
25.75,62,54,1,BSA,1000,BSA,1000,600,92.5,90,58.83,10
26,70,50,1,BSA,1000,BSA,1000,750,92,81,53,19
26.66,74.83,44.71,1,BSA,1000,BSA,1000,809.06,91.77,79.5,51.07,20.5
7,76.5,72.5,2,BSA,500,BSA,500,97.5,98.5,71.25,31,28.75
8.2,79.4,71,2,BSA,500,BSA,500,131,98.5,76,31,24
8.5,81.3,67.5,2,BSA,500,BSA,500,155.5,98.5,76.87,28,23.13
7.6,81.4,66,2,BSA,500,BSA,500,139,98.5,78.37,32,21.63
7.4,77.2,64,2,BSA,500,BSA,500,122.5,98.5,73.2,28.5,26.8
7.2,69.4,61,2,BSA,500,BSA,500,102.5,98.5,68,28,32
6.5,74.2,73,2,BSA,500,BSA,500,87.5,98.5,63.75,22.5,36.25
6.8,75.7,71.25,2,BSA,500,BSA,500,107.5,98.5,69.4,22,30.6
7.3,77.9,70,2,BSA,500,BSA,500,124,98.5,71.5,28,28.5
7.4,80.9,65.5,2,BSA,500,BSA,500,128,98.5,77,31,23
7.1,72.3,65,2,BSA,500,BSA,500,110,98.5,71.25,28,28.75
6.9,71.5,62.5,2,BSA,500,BSA,500,92.5,98.5,67.5,25,32.5
23.77,58.59,78.49,1,BSA,500,BSA,500,142.8,68,51.2,15,48.8
22.24,70.44,75.38,1,BSA,500,BSA,500,180,81.7,62,15.5,38
22.32,73.62,63.61,1,BSA,500,BSA,500,195,83,72,17.5,28
21.1,72.52,68.33,1,BSA,500,BSA,500,170,81.2,61,12.5,39
22.27,73.4,68,1,BSA,500,BSA,500,181.25,82.5,64.5,12,35.5
23.74,74.37,70.41,1,BSA,500,BSA,500,212.5,84,66,16,34
24.49,80.71,58.31,1,BSA,500,BSA,500,262.5,93,82,25.5,18
23.71,78.41,60.88,1,BSA,500,BSA,500,233.5,86.25,70,15,30
27.8,47.1,80.8,1,BSA,200,BSA,200,98,92,80,6.4,20
28.1,48.9,78.2,1,BSA,200,BSA,200,124.5,94.5,94.8,29.8,5.2
29.7,45.8,77,1,BSA,200,BSA,200,187,96,80,20,20
32.8,49.3,71.9,1,BSA,200,BSA,200,213,96,76.47,13.73,23.53
35.7,50.3,68.6,1,BSA,200,BSA,200,245.1,95.8,77.19,23.24,22.81
39.8,49.3,71.7,1,BSA,200,BSA,200,235,94.5,70.27,28.32,29.73
30.5,62,61.5,2,BSA,200,BSA,1000,10,92,83,8,17
34,77.5,58.25,2,BSA,200,BSA,1000,20,92.5,89.5,6,10.5
39,89.5,62,2,BSA,200,BSA,1000,40,93,92.5,24,7.5
61,94.5,68.5,2,BSA,200,BSA,1000,90,90,83,21,17
68.5,40.8,67.1,1,BSA,1000,BSA,1000,46.25,92,60.18,35,39.82
72,61.4,53,1,BSA,1000,BSA,1000,77,97,68,38,32
26.7,63.2,47.2,1,BSA,1000,BSA,1000,15,95,72.24,42,27.76
