polymer, polymer  SMILES string,polymer MW (g/mol),polymer wt%,intrinsic viscosity (dl/g),polymer surface tension (mN/m),pore maker ,pore maker molecular weight (Da),pore maker wt% (pore maker weight to total weight),additive,additive wt% (additive weight to polymer),organic solvent,solubility parameter (MPa1/2),mean pore radius (nm),overall porosity (%),contact angle (degree)
Polyethersulfone,,,18,0.41,42,PEG,1000,7,none,0,DMAc,22.7,5.14,54.12,82.49
Polyethersulfone,,,15,0.41,42,PEG,1000,7,SPSF-DS10,3,DMAc,22.7,8.13,88.29,75.14
Polyethersulfone,,,15,0.41,42,PEG,1000,7,SPSF-DS30,3,DMAc,22.7,7.19,67.64,70.86
Polyethersulfone,,,15,0.41,42,PEG,1000,7,SPSF-DS50,3,DMAc,22.7,8.89,84.17,63.9
Poly (arylene ether ketone),,,16,,,PVP,,8,none,0,NMP,22.9,21.2,82.3,77
Polyethersulfone,,58000,16,0.41,42,PVP,40000,1.5,none,0,NMP,22.9,40,58,75
Polyethersulfone,,58000,16,0.41,42,PVP,40000,1.5,Fe2O3/Mn2O3 NPs,0.1,NMP,22.9,44.1,67,70
Polyethersulfone,,58000,16,0.41,42,PVP,40000,1.5,Fe2O3/Mn2O3 NPs,0.25,NMP,22.9,45.5,74,64
Polyethersulfone,,58000,16,0.41,42,PVP,40000,1.5,Fe2O3/Mn2O3 NPs,0.5,NMP,22.9,43.3,71,65
Polyethersulfone,,58000,16,0.41,42,PVP,40000,1.5,Fe2O3/Mn2O3 NPs,1,NMP,22.9,43.1,65,67
Polyether ether sulfone,,35000,15,,,PVP,30000,0,TiO2 NPs-4,1.5,NMP,22.9,4.15,62,52.3
Polyether ether sulfone,,35000,12.5,,,PVP,30000,2.5,TiO2 NPs-4,1.5,NMP,22.9,4.7,70,46.5
Polyether ether sulfone,,35000,10,,,PVP,30000,5,TiO2 NPs-4,1.5,NMP,22.9,5.7,78,42.5
Polyether ether sulfone,,35000,7.5,,,PVP,30000,7.5,TiO2 NPs-4,1.5,NMP,22.9,4.7,74,43.3
Polyether ether sulfone,,35000,5,,,PVP,30000,10,TiO2 NPs-4,1.5,NMP,22.9,4.2,75,44
Polyvinyl chloride,ClC=C,,18,0.84,,PEG,4000,1,HNT-SiO2-PEI,0.25,DMAc,22.7,5.1,63.1,56.3
Polyvinyl chloride,ClC=C,,18,0.84,,PEG,4000,1,HNT-SiO2-PEI,0.5,DMAc,22.7,5.8,70,54.2
Polyvinyl chloride,ClC=C,,18,0.84,,PEG,4000,1,HNT-SiO2-PEI,1,DMAc,22.7,6.5,71.9,52.1
Polyvinyl chloride,ClC=C,,18,0.84,,PEG,4000,1,HNT-SiO2-PEI,2,DMAc,22.7,7.6,72.5,51.7
Polyvinyl chloride,ClC=C,48000,14,0.84,,PVP,,1,none,0,DMAc,22.7,26.97,42.8,91.2
Polyvinyl chloride,ClC=C,48000,14,0.84,,PVP,,1,HNTs,1,DMAc,22.7,27.55,47.45,82.5
Polyvinyl chloride,ClC=C,48000,14,0.84,,PVP,,1,HNTs,2,DMAc,22.7,30.87,52.92,77.5
Polyvinyl chloride,ClC=C,48000,14,0.84,,PVP,,1,HNTs,3,DMAc,22.7,28.2,48.91,76.2
Polyvinyl chloride,ClC=C,48000,14,0.84,,PVP,,1,none,0,DMAc,22.7,26.97,42.8,91.3
Polyvinyl chloride,ClC=C,48000,14,0.84,,PVP,,1,CeO2-HNTs,1,DMAc,22.7,27.55,47.45,88.09
Polyvinyl chloride,ClC=C,48000,14,0.84,,PVP,,1,CeO2-HNTs,2,DMAc,22.7,30.87,44.69,98.48
Polyvinyl chloride,ClC=C,48000,14,0.84,,PVP,,1,CeO2-HNTs,3,DMAc,22.7,28.2,42.27,74.14
Polyvinylidene fluoride,FC(F)=C,,18,1.22,29.2,PVP,,6,none,0,DMAc,22.7,20.2,52.6,77.1
Polyvinylidene fluoride,FC(F)=C,,18,1.22,29.2,PVP,,6,TiO2 NTs,3,DMAc,22.7,72.5,62.6,61.4
Polyvinylidene fluoride,FC(F)=C,,18,1.22,29.2,PVP,,6,TiO2-HNTs,3,DMAc,22.7,93.9,65.4,52.9
